"","State","County","fips","frac_coll_plus2010","foreign_share2010","med_hhinc2016","poor_share2010","share_white2010","share_black2010","share_hisp2010","share_asian2010","gsmn_math_g3_2013","rent_twobed2015","singleparent_share2010","traveltime15_2010","emp2000","ln_wage_growth_hs_grad","popdensity2010","ann_avg_job_growth_2004_2013","job_density_2013","turnout.rate"
"1","Alabama","Autauga County",1001,0.22199036,0.020154603,54052.8044565795,0.10591765,0.77246159,0.18134174,0.024005424,0.0078302799,2.7598643,739.36542,0.28337586,0.20416254,0.60958648,-0.06331379,91.802681,0.010145103,40.719135,0.661836554732
"2","Alabama","Baldwin County",1003,0.26071036,0.037591625,52003.0934737882,0.1229422,0.8350479,0.09752284,0.043848243,0.0059535136,2.7925096,816.84521,0.27786639,0.27532622,0.57702631,0.030092912,114.64751,0.012950056,50.085987,0.65290559927613
"3","Alabama","Barbour County",1005,0.13349621,0.02814395,33114.8548275485,0.25063077,0.46753106,0.47190151,0.050515354,0.0036882064,1.6000091,527.29077,0.4680706,0.37604919,0.453271,0.18936642,31.029207,-0.020755908,9.2306719,0.54027121430039
"4","Alabama","Bibb County",1007,0.099240527,0.0068591884,39846.4465197469,0.12684989,0.7502073,0.22282349,0.017717652,0.00074187212,1.5316743,604.27759,0.32013631,0.25268301,0.49424064,-0.020072633,36.806339,-0.0046446533,12.875392,0.545697548768697
"5","Alabama","Blount County",1009,0.1263345,0.047343444,46361.1223962876,0.13313791,0.8888734,0.015002966,0.080701999,0.0018735955,2.8154035,567.69586,0.2589052,0.19434378,0.57780957,0.0964626,88.902191,-0.008120399,36.175354,0.641909814323607
"6","Alabama","Bullock County",1011,0.10972187,0.01349327,31304.7833974711,0.28044859,0.21916804,0.70221734,0.071192965,0.0017932489,1.039439,266,0.57786363,0.39213505,0.37466386,0.36383346,17.523945,0.026254078,6.9540229,0.590804303278688
"7","Alabama","Butler County",1013,0.10806212,0.011251595,34026.9872535447,0.2555584,0.54060245,0.43562323,0.0091182506,0.0087014381,1.5268495,524.55286,0.51096302,0.35295179,0.48403466,0.010279955,26.96475,-0.00024342755,10.563457,0.629177718832891
"8","Alabama","Calhoun County",1015,0.1634185,0.025508069,42474.4730644984,0.20056167,0.73613501,0.21114597,0.032832373,0.0061742039,3.2839758,618.74536,0.39710364,0.31467241,0.54225862,0.098773666,200.31219,-0.016005199,72.892357,0.578550191779578
"9","Alabama","Chambers County",1017,0.10888611,0.0088536562,35054.8600613766,0.20377946,0.58141166,0.39172876,0.015665643,0.0046357615,2.1440363,652.08014,0.40971935,0.27802211,0.54817635,-0.038835149,57.356522,-0.010350547,23.566212,0.585212696710955
"10","Alabama","Cherokee County",1019,0.10722729,0.0049979342,38793.7199969218,0.17228937,0.92073572,0.050559852,0.012312901,0.0020008464,1.712031,607.31073,0.24086754,0.26244637,0.52871585,0.12870842,46.93697,-0.0082949791,19.232437,0.5950849015529
"11","Alabama","Chilton County",1021,0.12215477,0.039485548,42600.3308663474,0.18464307,0.81101209,0.09958069,0.078363083,0.002388821,3.1304917,594.58862,0.30526346,0.23589729,0.57104445,0.10126027,62.990181,-0.003689972,26.109396,0.595106015779093
"12","Alabama","Choctaw County",1023,0.10668433,0.0034914624,33545.7596507685,0.18936156,0.55559564,0.43509632,0.0052673356,0.001324982,1.9019498,496.59229,0.37976441,0.25258994,0.44178951,0.4131563,15.171319,-0.017208306,4.6743293,0.732914375490966
"13","Alabama","Clarke County",1025,0.13354266,0.0023420858,32990.1721441567,0.2898961,0.53973603,0.44032827,0.010490458,0.0029742504,1.4487185,493.00317,0.34984079,0.37438929,0.49512899,0.055336248,20.858887,-0.030748706,5.7692385,0.702970297029703
"14","Alabama","Clay County",1027,0.096151501,0.018981127,38532.5538329027,0.18940292,0.80289978,0.1546081,0.028639104,0.0015073213,1.6756015,383.59851,0.2960484,0.2929689,0.52708459,0.04678918,23.067715,-0.012092866,8.1843033,0.664047527788425
"15","Alabama","Cleburne County",1029,0.085138939,0.010642632,35424.6116083356,0.17499053,0.93213999,0.037069194,0.020504942,0.0015362009,3.0739887,530.44354,0.35940245,0.25270006,0.55804032,0.25920442,26.73094,-0.017793171,9.6107836,0.631509961551905
"16","Alabama","Coffee County",1031,0.22555889,0.046599746,48731.1422679587,0.17204374,0.72343236,0.17299992,0.063666217,0.011852509,3.3043158,635.03894,0.35329986,0.3423388,0.52624398,0.049714852,73.563934,-0.00018012787,28.138044,0.572122052704577
"17","Alabama","Colbert County",1033,0.16347194,0.016148681,44635.2458844712,0.15770689,0.79617107,0.16647682,0.020081576,0.0039874022,2.5650976,599.2428,0.28902519,0.36768466,0.53371429,-0.14369418,91.843155,-0.0051766243,37.017036,0.648300553308225
"18","Alabama","Conecuh County",1035,0.095982991,0.00055668474,27179.6545207136,0.30871755,0.5113396,0.46726641,0.012171152,0.0011339582,3.0408378,450.09814,0.38929418,0.34183317,0.44579414,0.12384813,15.559479,-0.011007579,4.9296775,0.665942928039702
"19","Alabama","Coosa County",1037,0.11157417,0.0055183675,32466.4531588526,0.15943986,0.65898257,0.3116388,0.019932404,0.0012132768,1.5093206,499.83136,0.30879378,0.16920446,0.50675154,0.11300989,17.727053,-0.013254521,6.212688,0.617073994819236
"20","Alabama","Covington County",1039,0.13228455,0.012936896,38438.1421421952,0.18594746,0.84075201,0.12996161,0.01278962,0.0039056989,3.3432653,561.96057,0.34660915,0.45807952,0.51398855,0.030281421,36.648823,-0.008994069,14.331519,0.60338560598193
"21","Alabama","Crenshaw County",1041,0.09997008,0.039643571,37405.6574140659,0.17299487,0.72055227,0.24032792,0.014669927,0.013591256,3.1199837,481.36026,0.34091324,0.29200277,0.51021713,0.074572064,22.840193,0.0081381751,9.5723171,0.625248039308325
"22","Alabama","Cullman County",1043,0.13853914,0.026190663,40006.7653160212,0.16704641,0.9273935,0.01228764,0.042956993,0.0039708302,3.8820558,586.08502,0.26389104,0.29893169,0.57696313,0.054961674,109.41959,-0.009722326,45.454731,0.657817387340658
"23","Alabama","Dale County",1045,0.17768152,0.036627442,44360.6107142146,0.14918132,0.71053314,0.20180693,0.056138188,0.0091515752,2.1926258,588.37555,0.35928267,0.35344353,0.50794131,0.052383237,89.549873,-0.0010409254,34.25103,0.529325002011317
"24","Alabama","Dallas County",1047,0.14476024,0.0083448328,29831.2297352807,0.30944481,0.28927431,0.69707894,0.0070515745,0.0035989117,2.4282541,541.53705,0.52397567,0.39418447,0.44789419,NA,44.773907,-0.0032486201,14.612315,0.621854004943085
"25","Alabama","DeKalb County",1049,0.10936511,0.072960965,38165.2668438594,0.19802214,0.81560701,0.01745208,0.13626967,0.0024118305,1.8044913,537.62146,0.28208095,0.32756481,0.58264607,0.042005964,91.506424,-0.013056695,34.517105,0.588532477947073
"26","Alabama","Elmore County",1051,0.20373544,0.021042813,53344.9163209462,0.1244408,0.74964374,0.20496072,0.0268464,0.0047246004,2.4378459,764.48303,0.29144984,0.18257049,0.55459809,0.12536113,128.222,0.010114059,56.037201,0.65746883312502
