county_name,state,totalvotes
Aleutians East Borough,Alaska,548
Aleutians West Census Area,Alaska,1282
Anchorage Municipality,Alaska,145178
Bethel Census Area,Alaska,5108
Bristol Bay Borough,Alaska,506
Chugach Census Area,Alaska,3524
Copper River Census Area,Alaska,1689
Denali Borough,Alaska,1161
Dillingham Census Area,Alaska,1907
Fairbanks North Star Borough,Alaska,45367
Haines Borough,Alaska,2636
Hoonah-Angoon Census Area,Alaska,2301
Juneau City and Borough,Alaska,17317
Kenai Peninsula Borough,Alaska,33948
Ketchikan Gateway Borough,Alaska,6778
Kodiak Island Borough,Alaska,6708
Kusilvak Census Area,Alaska,1950
Lake and Peninsula Borough,Alaska,458
Matanuska-Susitna Borough,Alaska,53536
Nome Census Area,Alaska,3668
North Slope Borough,Alaska,2498
Northwest Arctic Borough,Alaska,1905
Petersburg Borough,Alaska,1608
Prince of Wales-Hyder Census Area,Alaska,4387
Sitka City and Borough,Alaska,4031
Skagway Municipality,Alaska,954
Southeast Fairbanks Census Area,Alaska,3705
Wrangell City and Borough,Alaska,1277
Yakutat City and Borough,Alaska,317
Yukon-Koyukuk Census Area,Alaska,2838
