"Label (Grouping)","Total:!!Male:!!18 years and over:!!Native","Total:!!Male:!!18 years and over:!!Foreign born:!!Naturalized U.S. citizen","Total:!!Female:!!18 years and over:!!Native","Total:!!Female:!!18 years and over:!!Foreign born:!!Naturalized U.S. citizen"
"Autauga County, Alabama","","","",""
"    Estimate","19,731","225","21,620","383"
"Baldwin County, Alabama","","","",""
"    Estimate","78,707","1,528","85,761","1,990"
"Barbour County, Alabama","","","",""
"    Estimate","10,251","112","8,973","132"
"Bibb County, Alabama","","","",""
"    Estimate","9,398","30","8,038","117"
"Blount County, Alabama","","","",""
"    Estimate","20,437","562","21,603","376"
"Bullock County, Alabama","","","",""
"    Estimate","4,191","47","3,550","20"
"Butler County, Alabama","","","",""
"    Estimate","6,609","26","8,384","61"
"Calhoun County, Alabama","","","",""
"    Estimate","40,954","625","45,915","628"
"Chambers County, Alabama","","","",""
"    Estimate","12,175","62","13,748","132"
"Cherokee County, Alabama","","","",""
"    Estimate","10,122","55","10,411","83"
"Chilton County, Alabama","","","",""
"    Estimate","15,459","288","16,498","203"
"Choctaw County, Alabama","","","",""
"    Estimate","4,660","58","5,434","32"
"Clarke County, Alabama","","","",""
"    Estimate","8,670","20","9,972","23"
"Clay County, Alabama","","","",""
"    Estimate","5,024","2","5,362","48"
"Cleburne County, Alabama","","","",""
"    Estimate","5,397","46","5,984","17"
"Coffee County, Alabama","","","",""
"    Estimate","18,734","323","19,357","520"
"Colbert County, Alabama","","","",""
"    Estimate","20,077","173","22,607","157"
"Conecuh County, Alabama","","","",""
"    Estimate","4,569","13","4,976","114"
"Coosa County, Alabama","","","",""
"    Estimate","4,451","3","4,425","0"
"Covington County, Alabama","","","",""
"    Estimate","13,686","65","15,067","69"
"Crenshaw County, Alabama","","","",""
"    Estimate","4,958","13","5,550","62"
"Cullman County, Alabama","","","",""
"    Estimate","30,640","489","32,169","323"
"Dale County, Alabama","","","",""
"    Estimate","17,949","266","18,652","422"
"Dallas County, Alabama","","","",""
"    Estimate","12,748","9","15,920","50"
"DeKalb County, Alabama","","","",""
"    Estimate","23,867","283","25,436","294"
"Elmore County, Alabama","","","",""
"    Estimate","29,385","194","32,424","403"
"Escambia County, Alabama","","","",""
"    Estimate","14,397","98","13,832","122"
"Etowah County, Alabama","","","",""
"    Estimate","37,014","497","40,948","643"
"Fayette County, Alabama","","","",""
"    Estimate","6,213","28","6,586","72"
"Franklin County, Alabama","","","",""
"    Estimate","10,458","327","10,812","358"
"Geneva County, Alabama","","","",""
"    Estimate","9,638","146","10,521","99"
"Greene County, Alabama","","","",""
"    Estimate","2,992","30","3,398","21"
"Hale County, Alabama","","","",""
"    Estimate","5,197","14","6,096","15"
"Henry County, Alabama","","","",""
"    Estimate","6,362","51","7,053","56"
"Houston County, Alabama","","","",""
"    Estimate","36,666","532","41,932","696"
"Jackson County, Alabama","","","",""
"    Estimate","19,333","116","20,872","123"
"Jefferson County, Alabama","","","",""
"    Estimate","223,210","3,700","262,384","4,320"
"Lamar County, Alabama","","","",""
"    Estimate","5,147","0","5,561","22"
"Lauderdale County, Alabama","","","",""
"    Estimate","34,419","263","38,389","285"
"Lawrence County, Alabama","","","",""
"    Estimate","12,257","39","13,322","0"
"Lee County, Alabama","","","",""
"    Estimate","58,278","1,614","62,416","1,415"
"Limestone County, Alabama","","","",""
"    Estimate","36,128","592","36,163","654"
"Lowndes County, Alabama","","","",""
"    Estimate","3,540","4","4,112","8"
"Macon County, Alabama","","","",""
"    Estimate","6,736","16","8,410","43"
